Habitat,Ksat ,Bulk density ,Porosity ,Worm abundance
CC,763.4,0.965,60,6
CC,844.8,1.0378,56.92,9
CC,750,1.038,63.4,18
CC,1444.6,1.066,55,13
CC,910.7,1.094,56,20
CC,937.6,1.106,46.8,5
CC,499,1.132,52,0
CC,263.26,1.134,52.4,30
CC,809,1.142,53.4,13
CC,733,1.1512,45.42,0
CC,572.4,1.165,53,26
CC,329.4,1.2338,53.68,1
RF,515,1.188,55,28
RF,1257,1.19,50.8,15
RF,116.82,1.204,54.2,46
RF,397.98,1.272,50.6,9
RF,91.02,1.3,50,23
SSA,1367.6,1.0776,43.32,17
SSA,1449.6,1.1456,39.12,12
SSA,465.2,1.204,52.6,4
SSA,784.8,1.206,52.8,5
SSA,190,1.23,52.4,4
SSA,124.52,1.23,52,3
SSA,667,1.24,45.2,6
SSA,1145.8,1.2416,50.06,14
SSA,38.8,1.255,44.25,15
SSA,280.26,1.296,50.8,29
SSA,58.2,1.314,42,0
TM,677.6,0.974,60.6,25
TM,71.4,1.136,57.8,14
TM,197.2,1.136,54.2,8
TM,1156,1.1508,45,35
TM,138.42,1.176,53,64
TM,602.2,1.181,53.3,6
TM,16.54,1.182,54.2,18
TM,104.42,1.246,51.4,46
TM,82.8,1.348,36.6,9
TM,90.3,1.356,47,36
TSA,149.3,1.08,56.8,5
TSA,220.8,1.104,58.4,1
TSA,1061,1.1276,56.38,15
TSA,635.4,1.242,43.6,6
TSA,626.4,1.246,53,11
TSA,128.25,1.264,47.2,11
TSA,1634.8,1.2886,40.12,13
TSA,143.8,1.508,36.2,18
TSA,292.6,2.104,56,9
